Prod id;07/04/2025;14/04/2025;21/04/2025;28/04/2025
1494;4.422285714;2.833;2.372973545;2.393464286
1496;8.803928571;8.826071429;8.797100529;8.880064286
1497;3.3155;3.326714286;3.322256614;3.361285714
1499;11.99114286;12.02407143;11.99116931;12.11261429
1500;0;0;0;0
1501;0;0;0;0
1502;0;0;0;0
1503;0;0;0;0
1504;0;0;0;0
1507;26.98992857;27.121;27.14867725;27.54500714
1508;3.710142857;3.721857143;3.713997354;3.754457143
1515;0;0;0;0
1516;9.892642857;9.94;9.950420635;10.09692857
1517;26.24842857;26.37421429;26.39889418;26.78078571
1518;21.4625;21.53714286;21.50577778;21.75722857
1519;140.8514286;141.2020714;140.7535344;142.1120357
1522;0;0;0;0
1524;12.203;12.221;12.1607037;12.25285
1525;7.738857143;7.770071429;7.76671164;7.866092857
1526;14.63157143;14.66621429;14.61619841;14.7525
1527;0;0;0;0
1528;0;0;0;0
1534;35.13078571;35.23407143;35.14878307;35.51951429
1535;20.967;21.0295;20.98259259;21.20865
1538;5.993642857;6.017;6.013140212;6.089321429
1539;7.041642857;7.065214286;7.052624339;7.131871429
1540;17.12914286;17.17935714;17.1372672;17.31658571
1541;18.424;18.47457143;18.42343915;18.61005
1543;237.7647857;230.9753571;190.0491085;169.84405
1544;73.7255;68.95778571;65.93417989;65.07404286
1546;9.461357143;9.450571429;9.354484127;9.379928571
1547;33.3135;33.24885714;32.86886508;32.90815714
1551;0;0;0;0
1552;0;0;0;0
1553;2.047071429;2.056642857;2.05794709;2.086557143
1554;3.277214286;3.2925;3.29665873;3.345292857
1555;2.557714286;2.569714286;2.571388889;2.606907143
1556;11.0745;11.1225;11.1238254;11.27447857
1557;16.28435714;16.356;16.3604418;16.58485
1558;44.62471429;44.7605;44.66351058;45.14759286
1560;31.72514286;31.79278571;31.67276984;31.95657857
1561;32.07335714;32.18157143;32.13197619;32.50425714
1562;16.43121429;16.48057143;16.4432037;16.61967857
1563;5.787642857;5.807;5.79728836;5.863271429
1564;12.87642857;12.92878571;12.92410317;13.09181429
1565;0.723428571;0.726642857;0.727653439;0.738171429
1566;28.91685714;29.05264286;29.07468254;29.49072857
1567;11.6085;11.65871429;11.6596455;11.81673571
1568;0.777285714;0.7805;0.780256614;0.790428571
1569;50.23185714;50.42171429;50.37760317;51.00157857
1570;0;0;0;0
1571;0;0;0;0
1572;0;0;0;0
1573;0;0;0;0
1574;0;0;0;0
1577;1.274642857;1.2795;1.278619048;1.294864286
1578;0;0;0;0
1579;0;0;0;0
1580;0;0;0;0
1581;0;0;0;0
1582;30.788;30.90021429;30.86642857;31.23945
1583;0.686571429;0.690214286;0.690328042;0.69965
1584;1.068928571;1.074071429;1.074989418;1.089864286
